anio,provincia_id,carrera_grupo,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,estudiantes_grupo_pct
2011,54,Educacion,652.0,112.0,540.0,147.0,26.0,121.0,42.0,6.0,36.0,0.8282208588957055,0.025320388349514562
2011,54,Exactas,459.0,282.0,177.0,76.0,41.0,35.0,18.0,6.0,12.0,0.38562091503267976,0.017825242718446602
2011,54,Idiomas,18.0,4.0,14.0,0.0,0.0,0.0,2.0,1.0,1.0,0.7777777777777778,0.0006990291262135922
2011,54,Ingenieria,2001.0,1650.0,351.0,269.0,217.0,52.0,83.0,79.0,4.0,0.17541229385307347,0.07770873786407767
2011,54,Naturales,737.0,401.0,336.0,210.0,109.0,101.0,50.0,28.0,22.0,0.4559023066485753,0.02862135922330097
2011,54,Psicologia,2854.0,551.0,2303.0,879.0,182.0,697.0,117.0,17.0,100.0,0.806937631394534,0.11083495145631068
2011,54,Salud,3976.0,977.0,2999.0,1120.0,222.0,898.0,193.0,43.0,150.0,0.7542756539235412,0.15440776699029127
2011,54,Sociales,2753.0,984.0,1769.0,724.0,280.0,444.0,55.0,18.0,37.0,0.6425717399200872,0.1069126213592233
2011,54,Tecnologia,1439.0,1197.0,242.0,325.0,277.0,48.0,36.0,20.0,16.0,0.16817234190410008,0.05588349514563107
2011,66,Arte,49.0,9.0,40.0,0.0,0.0,0.0,5.0,2.0,3.0,0.8163265306122449,0.0018473138548539113
2011,66,Derecho,136.0,41.0,95.0,0.0,0.0,0.0,13.0,2.0,11.0,0.6985294117647058,0.005127238454288407
2011,66,Economicas,6858.0,2803.0,4055.0,1504.0,608.0,896.0,78.0,32.0,46.0,0.5912802566345874,0.25854853911404335
2011,66,Educacion,922.0,129.0,793.0,108.0,19.0,89.0,9.0,1.0,8.0,0.8600867678958786,0.03475966069745523
2011,66,Exactas,2008.0,1019.0,989.0,499.0,211.0,288.0,77.0,38.0,39.0,0.49252988047808766,0.07570216776625825
2011,66,Idiomas,124.0,19.0,105.0,37.0,8.0,29.0,3.0,0.0,3.0,0.8467741935483871,0.0046748350612629596
2011,66,Ingenieria,2580.0,2013.0,567.0,692.0,554.0,138.0,58.0,37.0,21.0,0.21976744186046512,0.09726672950047126
2011,66,Naturales,3793.0,2035.0,1758.0,891.0,462.0,429.0,129.0,84.0,45.0,0.46348536778275773,0.1429971724787936
2011,66,Psicologia,56.0,2.0,54.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9642857142857143,0.002111215834118756
2011,66,Salud,4763.0,809.0,3954.0,1147.0,218.0,929.0,225.0,33.0,192.0,0.8301490657148856,0.17956644674835062
2011,66,Sociales,2770.0,999.0,1771.0,452.0,189.0,263.0,52.0,12.0,40.0,0.6393501805054151,0.10442978322337418
2011,66,Tecnologia,2466.0,1732.0,734.0,482.0,340.0,142.0,89.0,67.0,22.0,0.29764801297648014,0.0929688972667295
2011,70,Arquitectura,1101.0,617.0,484.0,223.0,114.0,109.0,47.0,26.0,21.0,0.4396003633060854,0.06727361603323964
2011,70,Arte,831.0,353.0,478.0,258.0,121.0,137.0,20.0,9.0,11.0,0.5752105896510229,0.05077599902236344
2011,70,Derecho,1475.0,490.0,985.0,251.0,106.0,145.0,48.0,11.0,37.0,0.6677966101694915,0.09012587070756446
2011,70,Economicas,3902.0,1496.0,2406.0,953.0,403.0,550.0,90.0,25.0,65.0,0.6166068682726806,0.23842111694977391
2011,70,Educacion,382.0,56.0,326.0,56.0,6.0,50.0,16.0,6.0,10.0,0.8534031413612565,0.02334107295612856
2011,70,Exactas,1127.0,550.0,577.0,294.0,153.0,141.0,30.0,13.0,17.0,0.5119787045252884,0.0688622754491018
2011,70,Idiomas,174.0,36.0,138.0,59.0,10.0,49.0,2.0,1.0,1.0,0.7931034482758621,0.010631797629231334
2011,70,Ingenieria,2003.0,1672.0,331.0,418.0,336.0,82.0,108.0,95.0,13.0,0.16525212181727408,0.12238787730661127
2011,70,Naturales,1448.0,713.0,735.0,265.0,136.0,129.0,50.0,27.0,23.0,0.5075966850828729,0.08847610900647684
2011,70,Policial,116.0,29.0,87.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.007087865086154222
2011,70,Psicologia,651.0,65.0,586.0,144.0,21.0,123.0,22.0,1.0,21.0,0.9001536098310292,0.039777587681779296
2011,70,Salud,368.0,176.0,192.0,202.0,75.0,127.0,17.0,13.0,4.0,0.5217391304347826,0.022485640962972016
2011,70,Sociales,1442.0,538.0,904.0,311.0,128.0,183.0,21.0,5.0,16.0,0.6269070735090153,0.08810949529512403
2011,70,Tecnologia,1346.0,1006.0,340.0,382.0,312.0,70.0,49.0,21.0,28.0,0.2526002971768202,0.08224367591347917
2011,74,Arquitectura,43.0,39.0,4.0,25.0,22.0,3.0,0.0,0.0,0.0,0.09302325581395349,0.003346303501945525
2011,74,Arte,296.0,188.0,108.0,218.0,127.0,91.0,6.0,6.0,0.0,0.36486486486486486,0.02303501945525292
2011,74,Derecho,417.0,150.0,267.0,226.0,86.0,140.0,0.0,0.0,0.0,0.6402877697841727,0.03245136186770428
2011,74,Economicas,2042.0,768.0,1274.0,758.0,335.0,423.0,35.0,6.0,29.0,0.623898139079334,0.15891050583657587
2011,74,Educacion,523.0,87.0,436.0,53.0,11.0,42.0,33.0,4.0,29.0,0.8336520076481836,0.04070038910505837
2011,74,Exactas,1045.0,566.0,479.0,243.0,140.0,103.0,38.0,22.0,16.0,0.4583732057416268,0.08132295719844358
2011,74,Idiomas,32.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90625,0.002490272373540856
2011,74,Ingenieria,1044.0,909.0,135.0,208.0,182.0,26.0,35.0,34.0,1.0,0.12931034482758622,0.08124513618677043
2011,74,Naturales,1515.0,632.0,883.0,369.0,157.0,212.0,55.0,24.0,31.0,0.5828382838283829,0.1178988326848249
2011,74,Psicologia,1872.0,365.0,1507.0,277.0,77.0,200.0,103.0,15.0,88.0,0.8050213675213675,0.14568093385214007
2011,74,Salud,2188.0,487.0,1701.0,635.0,170.0,465.0,88.0,16.0,72.0,0.7774223034734917,0.17027237354085603
2011,74,Sociales,582.0,185.0,397.0,77.0,42.0,35.0,45.0,9.0,36.0,0.6821305841924399,0.045291828793774316
2011,74,Tecnologia,1251.0,977.0,274.0,314.0,270.0,44.0,49.0,35.0,14.0,0.2190247801758593,0.09735408560311284
2011,78,Economicas,2055.0,752.0,1303.0,801.0,306.0,495.0,31.0,11.0,20.0,0.6340632603406327,0.35327488396080453
2011,78,Educacion,164.0,61.0,103.0,55.0,22.0,33.0,1.0,1.0,0.0,0.6280487804878049,0.02819322674918343
2011,78,Exactas,70.0,29.0,41.0,18.0,14.0,4.0,0.0,0.0,0.0,0.5857142857142857,0.012033694344163659
2011,78,Ingenieria,87.0,70.0,17.0,43.0,34.0,9.0,0.0,0.0,0.0,0.19540229885057472,0.014956162970603403
2011,78,Naturales,512.0,277.0,235.0,239.0,146.0,93.0,2.0,2.0,0.0,0.458984375,0.08801787863159705
