anio,carrera_grupo,carrera_nombre,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Exactas,"Ingenieria Geodesta Geofisica, Nuclear, Energetica y en Petroleo",51.0,31.0,20.0,45.0,30.0,15.0,18.0,12.0,6.0,0.39215686274509803,0.3333333333333333,0.6078431372549019
2011,Exactas,Ingenieria Hidraulica,91.0,62.0,29.0,12.0,9.0,3.0,2.0,1.0,1.0,0.31868131868131866,0.25,0.6813186813186813
2011,Exactas,Ingenieria Mecanica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
2011,Exactas,Ingenieria Naval,41.0,41.0,0.0,3.0,3.0,0.0,41.0,41.0,0.0,0.0,0.0,1.0
2011,Exactas,Ingenieria Quimica,13906.0,7162.0,6744.0,2539.0,1261.0,1278.0,631.0,304.0,327.0,0.484970516323889,0.5033477747144545,0.515029483676111
2011,Exactas,Laboratorio,148.0,35.0,113.0,100.0,25.0,75.0,7.0,1.0,6.0,0.7635135135135135,0.75,0.23648648648648649
2011,Exactas,Matematica,4707.0,2073.0,2634.0,1089.0,429.0,660.0,207.0,101.0,106.0,0.5595920968769917,0.6060606060606061,0.44040790312300826
2011,Exactas,Organizacion y Produccion Industrial,195.0,178.0,17.0,54.0,48.0,6.0,11.0,9.0,2.0,0.08717948717948718,0.1111111111111111,0.9128205128205128
2011,Exactas,Produccion e Ingenieria Agropecuaria,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,,0.7272727272727273
2011,Exactas,Quimica,7772.0,2917.0,4855.0,1871.0,659.0,1212.0,879.0,302.0,577.0,0.6246783324755533,0.6477819347942276,0.37532166752444673
2011,Exactas,Salud Publica,112.0,14.0,98.0,112.0,14.0,98.0,0.0,0.0,0.0,0.875,0.875,0.125
2011,Idiomas,Aleman,74.0,18.0,56.0,20.0,7.0,13.0,1.0,0.0,1.0,0.7567567567567568,0.65,0.24324324324324326
2011,Idiomas,Frances,276.0,58.0,218.0,105.0,19.0,86.0,7.0,0.0,7.0,0.7898550724637681,0.819047619047619,0.21014492753623187
2011,Idiomas,Ingles,12997.0,2168.0,10829.0,3304.0,679.0,2625.0,686.0,68.0,618.0,0.833192275140417,0.7944915254237288,0.16680772485958298
2011,Idiomas,Italiano,251.0,36.0,215.0,72.0,11.0,61.0,6.0,0.0,6.0,0.8565737051792829,0.8472222222222222,0.14342629482071714
2011,Idiomas,Letras,5728.0,1823.0,3905.0,687.0,201.0,486.0,82.0,22.0,60.0,0.6817388268156425,0.7074235807860262,0.31826117318435754
2011,Idiomas,Otros Idiomas,202.0,16.0,186.0,112.0,10.0,102.0,0.0,0.0,0.0,0.9207920792079208,0.9107142857142857,0.07920792079207921
2011,Idiomas,Portugues,216.0,33.0,183.0,97.0,19.0,78.0,3.0,0.0,3.0,0.8472222222222222,0.8041237113402062,0.1527777777777778
2011,Ingenieria,BioIngenieria,1088.0,664.0,424.0,202.0,114.0,88.0,58.0,38.0,20.0,0.3897058823529412,0.43564356435643564,0.6102941176470589
2011,Ingenieria,Ciencias del Ambiente y Recursos Naturales,147.0,87.0,60.0,17.0,10.0,7.0,7.0,2.0,5.0,0.40816326530612246,0.4117647058823529,0.5918367346938775
2011,Ingenieria,Electromecanica,228.0,224.0,4.0,87.0,85.0,2.0,11.0,11.0,0.0,0.017543859649122806,0.022988505747126436,0.9824561403508771
2011,Ingenieria,Electronica,1598.0,1536.0,62.0,574.0,550.0,24.0,254.0,246.0,8.0,0.03879849812265332,0.041811846689895474,0.9612015018773467
2011,Ingenieria,Higiene y Seguridad Industrial,187.0,131.0,56.0,66.0,47.0,19.0,34.0,21.0,13.0,0.2994652406417112,0.2878787878787879,0.7005347593582888
2011,Ingenieria,Ingenieria  Electrica,4857.0,4609.0,248.0,969.0,900.0,69.0,171.0,154.0,17.0,0.0510603253036854,0.07120743034055728,0.9489396746963146
2011,Ingenieria,Ingenieria Aeronautica,1363.0,1243.0,120.0,252.0,225.0,27.0,30.0,28.0,2.0,0.0880410858400587,0.10714285714285714,0.9119589141599413
2011,Ingenieria,Ingenieria Ambiental,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,Ingenieria,Ingenieria Basica,42.0,32.0,10.0,7.0,5.0,2.0,411.0,318.0,93.0,0.23809523809523808,0.2857142857142857,0.7619047619047619
2011,Ingenieria,Ingenieria Civil,19544.0,15215.0,4329.0,4076.0,3110.0,966.0,640.0,509.0,131.0,0.22150020466639378,0.23699705593719333,0.7784997953336062
2011,Ingenieria,Ingenieria Electromecanica,6517.0,6315.0,202.0,1367.0,1300.0,67.0,234.0,231.0,3.0,0.030995856989412308,0.04901243599122165,0.9690041430105877
2011,Ingenieria,Ingenieria Electronica,17708.0,16717.0,991.0,3148.0,2936.0,212.0,688.0,607.0,81.0,0.05596340637000226,0.06734434561626429,0.9440365936299977
2011,Ingenieria,Ingenieria Forestal e Industrias de la Madera,1228.0,762.0,466.0,222.0,138.0,84.0,46.0,36.0,10.0,0.3794788273615635,0.3783783783783784,0.6205211726384365
2011,Ingenieria,"Ingenieria Geodesta Geofisica, Nuclear, Energetica y en Petroleo",1814.0,1385.0,429.0,447.0,321.0,126.0,90.0,74.0,16.0,0.2364939360529217,0.28187919463087246,0.7635060639470783
2011,Ingenieria,Ingenieria Hidraulica,399.0,287.0,112.0,97.0,70.0,27.0,13.0,10.0,3.0,0.2807017543859649,0.27835051546391754,0.7192982456140351
2011,Ingenieria,Ingenieria Industrial,28074.0,21941.0,6133.0,5566.0,4240.0,1326.0,1415.0,1083.0,332.0,0.2184583600484434,0.23823212360761767,0.7815416399515566
2011,Ingenieria,Ingenieria Mecanica,14321.0,13702.0,619.0,3155.0,2986.0,169.0,389.0,369.0,20.0,0.043223238600656376,0.05356576862123613,0.9567767613993436
2011,Ingenieria,Ingenieria Metalurgica,226.0,161.0,65.0,45.0,33.0,12.0,8.0,4.0,4.0,0.28761061946902655,0.26666666666666666,0.7123893805309734
2011,Ingenieria,Ingenieria Naval,787.0,670.0,117.0,233.0,199.0,34.0,13.0,9.0,4.0,0.14866581956797967,0.1459227467811159,0.8513341804320204
2011,Ingenieria,Ingenieria Quimica,110.0,61.0,49.0,20.0,14.0,6.0,13.0,8.0,5.0,0.44545454545454544,0.3,0.5545454545454546
2011,Ingenieria,Ingenieria Textil,151.0,56.0,95.0,19.0,4.0,15.0,7.0,5.0,2.0,0.6291390728476821,0.7894736842105263,0.3708609271523179
2011,Ingenieria,Ingenieria Vial,20.0,16.0,4.0,19.0,15.0,4.0,10.0,9.0,1.0,0.2,0.21052631578947367,0.8
2011,Ingenieria,Ingenieria en Agrimensura,2038.0,1461.0,577.0,526.0,376.0,150.0,54.0,41.0,13.0,0.2831207065750736,0.28517110266159695,0.7168792934249264
2011,Ingenieria,Ingenieria en Construcciones,192.0,164.0,28.0,15.0,13.0,2.0,32.0,24.0,8.0,0.14583333333333334,0.13333333333333333,0.8541666666666666
