"Universidad Juan Agustin Maza","Universidad Juan Agustin Maza","Lateral Sur del Acceso Este 2245","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Lateral Sur del Acceso Este 2245","-32.95403678084001,-68.83214028295434","","","","","","","","","","","","","","","","","","","","",""
"Universidad Maimonides","Universidad Maimonides","Hidalgo 775","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Hidalgo 775&provincia=2","-34.61053895477871,-58.44103541301811","","","","","","","","","","","","","","","","","","","","",""
"Universidad Metropolitana para la Educacion y el Trabajo","Universidad Metropolitana para la Educacion y el Trabajo","Sarmiento 2037","","-34.6058,-58.3979779","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional Arturo Jauretche","Universidad Nacional Arturo Jauretche","Calchaqui 6200","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Calchaqui 6200&provincia=6","-34.7751429,-58.2701046","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Avellaneda","Universidad Nacional de Avellaneda","12 de Octubre 463","http://apis.datos.gob.ar/georef/api/direcciones?direccion=12 de Octubre 463&provincia=6","-34.72925803087015,-58.263119285544974","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Catamarca","Universidad Nacional de Catamarca","Esquiu 799","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Esquiu 799","-28.459001,-65.7854021","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Chilecito","Universidad Nacional de Chilecito","s/d","","-29.1565622,-67.4730232","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Cordoba","Universidad Nacional de Cordoba","Av. Haya de la Torre s/n","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Haya de la Torre s/n&provincia=14","-31.4354809,-64.1877589","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Cuyo","Universidad Nacional de Cuyo","Centro Universitario, M5500","","-32.8807275,-68.8801746","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Entre rios","Universidad Nacional de Entre rios","Eva Peron 24","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Eva Peron 24","-31.624005177104273,-58.50507853279984","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Formosa","Universidad Nacional de Formosa","Av. formosa 3200","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. formosa 3200","-26.1921994,-58.2024444","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de General Sarmiento","Universidad Nacional de General Sarmiento","Juan Maria Gutierrez 1150","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Juan Maria Gutierrez 1150&provincia=6"," -34.492332720554565, -58.664685936227905","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Hurlingham","Universidad Nacional de Hurlingham","Tte. Manuel Origone 151","","-34.6174248,-58.6369253","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Jujuy","Universidad Nacional de Jujuy","Av. Bolivia 1239","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Bolivia 1239","-24.1826176,-65.3203807","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de La Matanza","Universidad Nacional de La Matanza","Florencio Varela 1903","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Florencio Varela 1903&provincia=6","-34.67069602536431,-58.5625432692672","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de La Pampa","Universidad Nacional de La Pampa","Uruguay 151","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Uruguay 151","-36.1446255,-64.5963517","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de la Patagonia Austral","Universidad Nacional de la Patagonia Austral","Ruta Nacional 3, Z9011 ","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ruta Nacional 3, Z9011 ","-46.4336028,-67.5229963","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de la Patagonia San Juan Bosco","Universidad Nacional de la Patagonia San Juan Bosco","Sarmiento 849","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Sarmiento 849&provincia=26","-42.91147305328778,-71.32234601161547","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de La Plata","Universidad Nacional de La Plata","Av. 7 776","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. 7 776&provincia=6","-34.89439984475497,-57.97717980074897","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de La Rioja","Universidad Nacional de La Rioja","Av. Luis M. de la Fuente","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Luis M. de la Fuente","-29.4298962,-66.8709593","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Lanus","Universidad Nacional de Lanus","29 de septiembre 3901","http://apis.datos.gob.ar/georef/api/direcciones?direccion=29 de septiembre 3901&provincia=6","-34.7355208,-58.3932694","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de las Artes","Universidad Nacional de las Artes","Av. Ing Huergo 1433","","-34.6094209,-58.4066206","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Lomas de Zamora","Universidad Nacional de Lomas de Zamora","Camino de Cintura y Juan XXIII","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Camino de Cintura y Juan XXIII&provincia=6","-34.7765037,-58.4591023","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Lujan","Universidad Nacional de Lujan","Avenida Constitucion, Ruta 5","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Avenida Constitucion, Ruta 5&provincia=6","-34.5774091,-59.0909557","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Mar del Plata","Universidad Nacional de Mar del Plata","Dean Funes 3350,","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Dean Funes 3350,&provincia=6","-38.0057920156254,-57.5715790666085","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Misiones","Universidad Nacional de Misiones","Fernando Elias LLamosas 9400","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Fernando Elias LLamosas 9400","-27.3996326,-55.9256125","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Moreno","Universidad Nacional de Moreno","Av. Bartolome Mitre 1891","","-34.6525807,-58.7791501","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Quilmes","Universidad Nacional de Quilmes","Roque Saenz Peña 352","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Roque Saenz Peña 352&provincia=6","-34.7064966,-58.2807187","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Rafaela","Universidad Nacional de Rafaela","Bv. Pres. Julio A. Roca 989","","-31.2511417,-61.5046662","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de rio Cuarto","Universidad Nacional de rio Cuarto","Ruta Nac. 36 - Km. 601","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ruta Nac. 36 - Km. 601&provincia=14","-33.084594014186514,-64.3349444221352","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de rio Negro","Universidad Nacional de rio Negro","Don Bosco 500","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Don Bosco 500","  -39.0279881065646, -67.58044691129079","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Rosario","Universidad Nacional de Rosario","Maipu 1065","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Maipu 1065&provincia=82","-32.950309649805945,-60.636126952347716","","","","","","","","","","","","","","","","","","","","",""
"Universidad Nacional de Salta","Universidad Nacional de Salta","Av Bolivia 5150","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av Bolivia 5150&provincia=66","-24.7280281,-65.4114867","","","","","","","","","","","","","","","","","","","","",""
